  36865
  2.0825730E+00  0.0000000E+00  5.9186890E-18
  2.0825259E+00  0.0000000E+00  3.8281312E-03
  2.0210335E+00  5.4153429E-01 -1.3326931E-02
  2.0206186E+00  5.4142313E-01 -9.8048771E-03
  2.0826730E+00  0.0000000E+00  5.9165566E-18
  2.0826258E+00  0.0000000E+00  3.8305942E-03
  2.0211295E+00  5.4156003E-01 -1.3316330E-02
  2.0207143E+00  5.4144877E-01 -9.7912790E-03
  2.0825259E+00  0.0000000E+00  3.8281312E-03
  2.0823844E+00  0.0000000E+00  7.6519228E-03
  2.0206186E+00  5.4142313E-01 -9.8048771E-03
  2.0200988E+00  5.4128385E-01 -6.2771726E-03
  2.0826258E+00  0.0000000E+00  3.8305942E-03
  2.0824843E+00  0.0000000E+00  7.6568537E-03
  2.0207143E+00  5.4144877E-01 -9.7912790E-03
  2.0201941E+00  5.4130937E-01 -6.2606211E-03
  2.0823844E+00  0.0000000E+00  7.6519228E-03
  2.0821487E+00  0.0000000E+00  1.1467072E-02
  2.0200988E+00  5.4128385E-01 -6.2771726E-03
  2.0194744E+00  5.4111654E-01 -2.7470691E-03
  2.0824843E+00  0.0000000E+00  7.6568537E-03
  2.0822484E+00  0.0000000E+00  1.1474479E-02
  2.0201941E+00  5.4130937E-01 -6.2606211E-03
  2.0195692E+00  5.4114192E-01 -2.7276063E-03
  2.0821487E+00  0.0000000E+00  1.1467072E-02
  2.0818185E+00  0.0000000E+00  1.5269275E-02
  2.0194744E+00  5.4111654E-01 -2.7470691E-03
  2.0187457E+00  5.4092128E-01  7.8218250E-04
  2.0822484E+00  0.0000000E+00  1.1474479E-02
  2.0819180E+00  0.0000000E+00  1.5279171E-02
  2.0195692E+00  5.4114192E-01 -2.7276063E-03
  2.0188399E+00  5.4094651E-01  8.0451550E-04
  2.0818185E+00  0.0000000E+00  1.5269275E-02
  2.0813939E+00  0.0000000E+00  1.9054241E-02
  2.0187457E+00  5.4092128E-01  7.8218250E-04
  2.0179132E+00  5.4069821E-01  4.3074122E-03
  2.0819180E+00  0.0000000E+00  1.5279171E-02
  2.0814931E+00  0.0000000E+00  1.9066644E-02
  2.0188399E+00  5.4094651E-01  8.0451550E-04
  2.0180067E+00  5.4072326E-01  4.3325646E-03
  2.0813939E+00  0.0000000E+00  1.9054241E-02
  2.0808748E+00  0.0000000E+00  2.2817848E-02
  2.0179132E+00  5.4069821E-01  4.3074122E-03
  2.0169777E+00  5.4044756E-01  7.8256097E-03
  2.0814931E+00  0.0000000E+00  1.9066644E-02
  2.0809737E+00  0.0000000E+00  2.2832775E-02
  2.0180067E+00  5.4072326E-01  4.3325646E-03
  2.0170705E+00  5.4047241E-01  7.8535219E-03
  2.0808748E+00  0.0000000E+00  2.2817848E-02
  2.0802612E+00  0.0000000E+00  2.6556042E-02
  2.0169777E+00  5.4044756E-01  7.8256097E-03
  2.0159405E+00  5.4016962E-01  1.1333764E-02
  2.0809737E+00  0.0000000E+00  2.2832775E-02
  2.0803596E+00  0.0000000E+00  2.6573515E-02
  2.0170705E+00  5.4047241E-01  7.8535219E-03
  2.0160324E+00  5.4019426E-01  1.1364379E-02
  2.0802612E+00  0.0000000E+00  2.6556042E-02
  2.0795530E+00  0.0000000E+00  3.0264772E-02
  2.0159405E+00  5.4016962E-01  1.1333764E-02
  2.0148024E+00  5.3986467E-01  1.4828865E-02
  2.0803596E+00  0.0000000E+00  2.6573515E-02
  2.0796510E+00  0.0000000E+00  3.0284814E-02
  2.0160324E+00  5.4019426E-01  1.1364379E-02
  2.0148935E+00  5.3988908E-01  1.4862125E-02
  2.0795530E+00  0.0000000E+00  3.0264772E-02
  2.0787503E+00  0.0000000E+00  3.3940041E-02
  2.0148024E+00  5.3986467E-01  1.4828865E-02
  2.0135647E+00  5.3953304E-01  1.8307934E-02
  2.0796510E+00  0.0000000E+00  3.0284814E-02
  2.0788477E+00  0.0000000E+00  3.3962677E-02
  2.0148935E+00  5.3988908E-01  1.4862125E-02
  2.0136549E+00  5.3955721E-01  1.8343778E-02
  2.0787503E+00  0.0000000E+00  3.3940041E-02
  2.0778533E+00  0.0000000E+00  3.7578127E-02
  2.0135647E+00  5.3953304E-01  1.8307934E-02
  2.0122291E+00  5.3917517E-01  2.1767972E-02
  2.0788477E+00  0.0000000E+00  3.3962677E-02
  2.0779500E+00  0.0000000E+00  3.7603375E-02
  2.0136549E+00  5.3955721E-01  1.8343778E-02
  2.0123183E+00  5.3919907E-01  2.1806332E-02
  2.0778533E+00  0.0000000E+00  3.7578127E-02
  2.0768622E+00  0.0000000E+00  4.1175382E-02
  2.0122291E+00  5.3917517E-01  2.1767972E-02
  2.0107972E+00  5.3879150E-01  2.5205933E-02
  2.0779500E+00  0.0000000E+00  3.7603375E-02
  2.0769582E+00  0.0000000E+00  4.1203262E-02
  2.0123183E+00  5.3919907E-01  2.1806332E-02
  2.0108854E+00  5.3881513E-01  2.5246747E-02
  2.0768622E+00  0.0000000E+00  4.1175382E-02
  2.0757772E+00  0.0000000E+00  4.4728157E-02
  2.0107972E+00  5.3879150E-01  2.5205933E-02
  2.0092708E+00  5.3838250E-01  2.8618772E-02
  2.0769582E+00  0.0000000E+00  4.1203262E-02
  2.0758724E+00  0.0000000E+00  4.4758693E-02
  2.0108854E+00  5.3881513E-01  2.5246747E-02
  2.0093580E+00  5.3840584E-01  2.8661980E-02
  2.0757772E+00  0.0000000E+00  4.4728157E-02
  2.0745988E+00  0.0000000E+00  4.8232888E-02
  2.0092708E+00  5.3838250E-01  2.8618772E-02
  2.0076517E+00  5.3794866E-01  3.2003427E-02
  2.0758724E+00  0.0000000E+00  4.4758693E-02
  2.0746931E+00  0.0000000E+00  4.8266093E-02
  2.0093580E+00  5.3840584E-01  2.8661980E-02
  2.0077377E+00  5.3797170E-01  3.2048964E-02
  2.0745988E+00  0.0000000E+00  4.8232888E-02
  2.0733277E+00  0.0000000E+00  5.1686284E-02
  2.0076517E+00  5.3794866E-01  3.2003427E-02
  2.0059421E+00  5.3749056E-01  3.5356672E-02
  2.0746931E+00  0.0000000E+00  4.8266093E-02
  2.0734211E+00  0.0000000E+00  5.1722163E-02
  2.0077377E+00  5.3797170E-01  3.2048964E-02
  2.0060269E+00  5.3751329E-01  3.5404481E-02
  2.0733277E+00  0.0000000E+00  5.1686284E-02
  2.0719648E+00  0.0000000E+00  5.5085111E-02
  2.0059421E+00  5.3749056E-01  3.5356672E-02
  2.0041441E+00  5.3700878E-01  3.8675230E-02
  2.0734211E+00  0.0000000E+00  5.1722163E-02
  2.0720571E+00  0.0000000E+00  5.5123668E-02
  2.0060269E+00  5.3751329E-01  3.5404481E-02
  2.0042277E+00  5.3703119E-01  3.8725252E-02
  2.0719648E+00  0.0000000E+00  5.5085111E-02
  2.0705111E+00  0.0000000E+00  5.8426132E-02
  2.0041441E+00  5.3700878E-01  3.8675230E-02
  2.0022599E+00  5.3650391E-01  4.1955820E-02
  2.0720571E+00  0.0000000E+00  5.5123668E-02
  2.0706022E+00  0.0000000E+00  5.8467372E-02
  2.0042277E+00  5.3703119E-01  3.8725252E-02
  2.0023423E+00  5.3652599E-01  4.2008003E-02
  2.0705111E+00  0.0000000E+00  5.8426132E-02
  2.0689675E+00  0.0000000E+00  6.1706188E-02
  2.0022599E+00  5.3650391E-01  4.1955820E-02
  2.0002917E+00  5.3597655E-01  4.5195108E-02
  2.0706022E+00  0.0000000E+00  5.8467372E-02
  2.0690573E+00  0.0000000E+00  6.1750105E-02
  2.0023423E+00  5.3652599E-01  4.2008003E-02
  2.0003728E+00  5.3599829E-01  4.5249402E-02
  2.0689675E+00  0.0000000E+00  6.1706188E-02
  2.0673356E+00  0.0000000E+00  6.4922312E-02
  2.0002917E+00  5.3597655E-01  4.5195108E-02
  1.9982420E+00  5.3542734E-01  4.8389585E-02
  2.0690573E+00  0.0000000E+00  6.1750105E-02
  2.0674241E+00  0.0000000E+00  6.4968887E-02
  2.0003728E+00  5.3599829E-01  4.5249402E-02
  1.9983218E+00  5.3544872E-01  4.8445943E-02
