 2.08362300900000097E+00 7.56369237855350102E-17 5.89629922934951118E-18
 2.08361541656337979E+00 7.63931910905990178E-07 1.54183885328012648E-03
 2.08359263742596124E+00 1.52725968407711689E-06 3.08340086832010985E-03
 2.08355466875460227E+00 2.28936922708531434E-06 4.62441318930208178E-03
 2.08350150759350905E+00 3.04964923314812125E-06 6.16460295593313900E-03
 2.08343315086384173E+00 3.80749095788086481E-06 7.70369730170893108E-03
 2.08334959536316422E+00 4.56228800292877652E-06 9.24142335211946067E-03
 2.08325083776477449E+00 5.31343610733058471E-06 1.07775082227800096E-02
 2.08313687461688257E+00 6.06033294748337587E-06 1.23116790174720280E-02
 2.08300770234168331E+00 6.80237794652543372E-06 1.38436628260754403E-02
 2.08286331723429008E+00 7.53897209408932888E-06 1.53731867223760171E-02
 2.08270371023426648E+00 8.26970548276864934E-06 1.68999816764464211E-02
 2.08252887446551593E+00 8.99380191934937234E-06 1.84237754231512188E-02
 2.08233880727124410E+00 9.71081277277959092E-06 1.99443106482661420E-02
 2.08213350587556123E+00 1.04202955715373197E-05 2.14613300103576252E-02
 2.08191296738230802E+00 1.11218138458036650E-05 2.29745761376517442E-02
 2.08167718877384900E+00 1.18149369881044850E-05 2.44837916247008271E-02
 2.08142616690984550E+00 1.24992401332997280E-05 2.59887190288333736E-02
 2.08115989852601047E+00 1.31743040587579568E-05 2.74891008663699400E-02
 2.08087838023288230E+00 1.38397151056828406E-05 2.89846796085886892E-02
 2.08058160851460849E+00 1.44950651226381028E-05 3.04751976774241470E-02
 2.08026957766742582E+00 1.51399694195145691E-05 3.19603994679307224E-02
 2.07994229745075732E+00 1.57737450685630218E-05 3.34400320460785730E-02
 2.07959978298512427E+00 1.63962193817167895E-05 3.49138631455152629E-02
 2.07924204928623002E+00 1.70072265415840978E-05 3.63816604452425266E-02
 2.07886911126468465E+00 1.76066074420494335E-05 3.78431915649549908E-02
 2.07848098372584955E+00 1.81942095455390310E-05 3.92982240601515848E-02
 2.07807768136983118E+00 1.87698867573580194E-05 4.07465254170118127E-02
 2.07765921879162851E+00 1.93334993174699623E-05 4.21878630470269161E-02
 2.07722561048146526E+00 1.98849137101879193E-05 4.36220042813788150E-02
 2.07677687082533691E+00 2.04240025922562771E-05 4.50487163650600958E-02
 2.07631301884378194E+00 2.09504458328981510E-05 4.64677629186723978E-02
 2.07583410536116464E+00 2.14637357621724516E-05 4.78789133099400410E-02
 2.07534018671259224E+00 2.19639568721916331E-05 4.92819607762620751E-02
 2.07483131915158880E+00 2.24511959938089161E-05 5.06766984918199243E-02
 2.07430755885099094E+00 2.29255419403943364E-05 5.20629195628111163E-02
 2.07376896190401894E+00 2.33870851575101276E-05 5.34404170225393493E-02
 2.07321558432557573E+00 2.38359173783817976E-05 5.48089838263596807E-02
 2.07264748205375726E+00 2.42721312849878493E-05 5.61684128464772572E-02
 2.07206471095161104E+00 2.46958201747326272E-05 5.75184968666008767E-02
 2.07146732680916612E+00 2.51070776326057191E-05 5.88590285764522964E-02
 2.07085539679079078E+00 2.55057151609000576E-05 6.01897925472650794E-02
 2.07022902896240035E+00 2.58914386320113752E-05 6.15105789415889212E-02
 2.06958833565528977E+00 2.62644168308820441E-05 6.28211990924273378E-02
 2.06893342912217015E+00 2.66248104783366462E-05 6.41214642842790200E-02
 2.06826442153801304E+00 2.69727716790465891E-05 6.54111857485093623E-02
 2.06758142500107800E+00 2.73084433700469211E-05 6.66901746586325977E-02
 2.06688455153411876E+00 2.76319587695522254E-05 6.79582421255022356E-02
 2.06617391308579323E+00 2.79434408259059603E-05 6.92151991924080945E-02
 2.06544962153227951E+00 2.82430016665709040E-05 7.04608568300797156E-02
 2.06471178867913396E+00 2.85307420471523177E-05 7.16950259315958516E-02
 2.06396054773030224E+00 2.88064586882796313E-05 7.29175037500944534E-02
 2.06319606718868087E+00 2.90699892075147113E-05 7.41280983358020840E-02
 2.06241851671900100E+00 2.93213291282390426E-05 7.53266283694088018E-02
 2.06162806587548619E+00 2.95604550707313503E-05 7.65129124866147925E-02
 2.06082488410232045E+00 2.97873242533678741E-05 7.76867692724528269E-02
 2.06000914073429220E+00 3.00018739923489822E-05 7.88480172555163922E-02
 2.05918100499759404E+00 3.02040211999107310E-05 7.99964749020837390E-02
 2.05834064601080735E+00 3.03936618811617547E-05 8.11319606101311014E-02
 2.05748823278607285E+00 3.05706706298255101E-05 8.22542927032248600E-02
 2.05662393423047174E+00 3.07349001233700263E-05 8.33632894242869876E-02
 2.05574794846634834E+00 3.08859915992635358E-05 8.44587528634554580E-02
 2.05486049013836869E+00 3.10236225763455093E-05 8.55405011284654515E-02
 2.05396177187419360E+00 3.11474241210831006E-05 8.66083521479095314E-02
 2.05305200615043493E+00 3.12570047713859052E-05 8.76621237670944797E-02
 2.05213140529334659E+00 3.13519502688840469E-05 8.87016337404850641E-02
 2.05120018147966965E+00 3.14318232938348306E-05 8.97266997239476033E-02
 2.05025854673767860E+00 3.14961632046678364E-05 9.07371392667725152E-02
 2.04930671294842615E+00 3.15444857845299676E-05 9.17327698034570704E-02
 2.04834489184724111E+00 3.15762829975532112E-05 9.27134086452287426E-02
 2.04737329502549015E+00 3.15910227579771328E-05 9.36788729712911411E-02
 2.04639215636495253E+00 3.15881006892921055E-05 9.46289686891432086E-02
 2.04540171370399015E+00 3.15668092652567924E-05 9.55635122963205547E-02
 2.04440220023322849E+00 3.15264284975101550E-05 9.64823210433244371E-02
 2.04339384897691678E+00 3.14662235167953365E-05 9.73852120186795844E-02
 2.04237689279517332E+00 3.13854447682636331E-05 9.82720021381416897E-02
 2.04135156438666421E+00 3.12833282581738016E-05 9.91425081334738889E-02
 2.04031809629175598E+00 3.11590958594655656E-05 9.99965465407710030E-02
 2.03927672089622325E+00 3.10119556843803249E-05 1.00833933688314031E-01
 2.03822767043557818E+00 3.08411025330110241E-05 1.01654485683939741E-01
 2.03717117700010419E+00 3.06457184274464757E-05 1.02458018401914902E-01
 2.03610748143761855E+00 3.04249481698775113E-05 1.03244342372203479E-01
 2.03503681896689637E+00 3.01779349926327279E-05 1.04013276467318325E-01
