# x(m)  y(m)  z(m)  nx  ny  nz
   2.05918100E+00   3.02040212E-05   7.99964749E-02   8.07114213E-01   3.02040212E-02   5.89622222E-01
   2.05834065E+00   3.03936619E-05   8.11319606E-02   7.99731413E-01   3.03936619E-02   5.99588102E-01
   2.05748823E+00   3.05706706E-05   8.22542927E-02   7.92201790E-01   3.05706706E-02   6.09493033E-01
   2.05662393E+00   3.07349001E-05   8.33632894E-02   7.84523440E-01   3.07349001E-02   6.19337014E-01
   2.05574795E+00   3.08859916E-05   8.44587529E-02   7.76708353E-01   3.08859916E-02   6.29102686E-01
   2.05486049E+00   3.10236226E-05   8.55405011E-02   7.68755871E-01   3.10236226E-02   6.38789437E-01
   2.05396177E+00   3.11474241E-05   8.66083521E-02   7.60664059E-01   3.11474241E-02   6.48398047E-01
   2.05305201E+00   3.12570048E-05   8.76621238E-02   7.52430830E-01   3.12570048E-02   6.57929210E-01
   2.05213141E+00   3.13519503E-05   8.87016337E-02   7.44053946E-01   3.13519503E-02   6.67383533E-01
   2.05120018E+00   3.14318233E-05   8.97266997E-02   7.35531020E-01   3.14318233E-02   6.76761523E-01
   2.05025855E+00   3.14961632E-05   9.07371393E-02   7.26859516E-01   3.14961632E-02   6.86063580E-01
   2.04930671E+00   3.15444858E-05   9.17327698E-02   7.18036752E-01   3.15444858E-02   6.95289989E-01
   2.04834489E+00   3.15762830E-05   9.27134086E-02   7.09059899E-01   3.15762830E-02   7.04440912E-01
   2.04737330E+00   3.15910228E-05   9.36788730E-02   6.99925984E-01   3.15910228E-02   7.13516379E-01
   2.04639216E+00   3.15881007E-05   9.46289687E-02   6.90641221E-01   3.15881007E-02   7.22507367E-01
   2.04540171E+00   3.15668093E-05   9.55635123E-02   6.81201098E-01   3.15668093E-02   7.31415478E-01
   2.04440220E+00   3.15264285E-05   9.64823210E-02   6.71602225E-01   3.15264285E-02   7.40240863E-01
   2.04339385E+00   3.14662235E-05   9.73852120E-02   6.61841044E-01   3.14662235E-02   7.48983517E-01
   2.04237689E+00   3.13854448E-05   9.82720021E-02   6.51913835E-01   3.13854448E-02   7.57643257E-01
   2.04135156E+00   3.12833283E-05   9.91425081E-02   6.41816714E-01   3.12833283E-02   7.66219720E-01
   2.04031810E+00   3.11590959E-05   9.99965465E-02   6.31545641E-01   3.11590959E-02   7.74712343E-01
   2.03927672E+00   3.10119557E-05   1.00833934E-01   6.21096419E-01   3.10119557E-02   7.83120359E-01
   2.03822767E+00   3.08411025E-05   1.01654486E-01   6.10464702E-01   3.08411025E-02   7.91442780E-01
   2.03717118E+00   3.06457184E-05   1.02458018E-01   5.99646000E-01   3.06457184E-02   7.99678382E-01
   2.03610748E+00   3.04249482E-05   1.03244342E-01   5.88637622E-01   3.04249482E-02   8.07824283E-01
   2.03503682E+00   3.01779350E-05   1.04013276E-01   5.77436177E-01   3.01779350E-02   8.15877903E-01
   2.03395941E+00   2.99038678E-05   1.04764648E-01   5.66037250E-01   2.99038678E-02   8.23837114E-01
   2.03287549E+00   2.96019433E-05   1.05498283E-01   5.54436324E-01   2.96019433E-02   8.31699517E-01
   2.03178528E+00   2.92713670E-05   1.06214008E-01   5.42628800E-01   2.92713670E-02   8.39462431E-01
   2.03068899E+00   2.89113554E-05   1.06911651E-01   5.30610000E-01   2.89113554E-02   8.47122873E-01
   2.02958687E+00   2.85211377E-05   1.07591035E-01   5.18375183E-01   2.85211377E-02   8.54677550E-01
   2.02847912E+00   2.80999576E-05   1.08251988E-01   5.05919561E-01   2.80999576E-02   8.62122839E-01
   2.02736598E+00   2.76470759E-05   1.08894333E-01   4.93238311E-01   2.76470759E-02   8.69454776E-01
   2.02624767E+00   2.71617724E-05   1.09517897E-01   4.80326592E-01   2.71617724E-02   8.76669038E-01
   2.02512441E+00   2.66433408E-05   1.10122501E-01   4.67179480E-01   2.66433408E-02   8.83760978E-01
   2.02399642E+00   2.60914827E-05   1.10707983E-01   4.53804248E-01   2.60914827E-02   8.90719338E-01
   2.02286391E+00   2.55058120E-05   1.11274199E-01   4.40197787E-01   2.55058120E-02   8.97538502E-01
   2.02172707E+00   2.48859916E-05   1.11821004E-01   4.26357118E-01   2.48859916E-02   9.04212528E-01
   2.02058611E+00   2.42317366E-05   1.12348253E-01   4.12279414E-01   2.42317366E-02   9.10735147E-01
   2.01944122E+00   2.35428180E-05   1.12855800E-01   3.97962029E-01   2.35428180E-02   9.17099754E-01
   2.01829261E+00   2.28190661E-05   1.13343501E-01   3.83402524E-01   2.28190661E-02   9.23299407E-01
   2.01714047E+00   2.20603748E-05   1.13811209E-01   3.68598697E-01   2.20603748E-02   9.29326821E-01
   2.01598501E+00   2.12667055E-05   1.14258777E-01   3.53548611E-01   2.12667055E-02   9.35174373E-01
   2.01482643E+00   2.04380911E-05   1.14686060E-01   3.38250629E-01   2.04380911E-02   9.40834096E-01
   2.01366493E+00   1.95748546E-05   1.15092911E-01   3.22709577E-01   1.95748546E-02   9.46295596E-01
   2.01250071E+00   1.86781552E-05   1.15479212E-01   3.06950637E-01   1.86781552E-02   9.51542134E-01
   2.01133394E+00   1.77486599E-05   1.15844871E-01   2.90976123E-01   1.77486599E-02   9.56565670E-01
   2.01016478E+00   1.67871253E-05   1.16189794E-01   2.74788778E-01   1.67871253E-02   9.61358060E-01
   2.00899342E+00   1.57944009E-05   1.16513889E-01   2.58391798E-01   1.57944009E-02   9.65911081E-01
   2.00782002E+00   1.47714302E-05   1.16817062E-01   2.41788853E-01   1.47714302E-02   9.70216448E-01
   2.00664474E+00   1.37192531E-05   1.17099220E-01   2.24984101E-01   1.37192531E-02   9.74265845E-01
   2.00546778E+00   1.26390074E-05   1.17360270E-01   2.07982212E-01   1.26390074E-02   9.78050947E-01
   2.00428928E+00   1.15319298E-05   1.17600118E-01   1.90788373E-01   1.15319298E-02   9.81563452E-01
   2.00310944E+00   1.03993571E-05   1.17818671E-01   1.73408313E-01   1.03993571E-02   9.84795111E-01
   2.00192843E+00   9.24345875E-06   1.18015841E-01   1.55868509E-01   9.24345875E-03   9.87734563E-01
   2.00074643E+00   8.06712218E-06   1.18191585E-01   1.38210574E-01   8.06712218E-03   9.90370011E-01
   1.99956361E+00   6.87225713E-06   1.18345882E-01   1.20444163E-01   6.87225713E-03   9.92696316E-01
   1.99838009E+00   5.66084077E-06   1.18478710E-01   1.02579267E-01   5.66084077E-03   9.94708726E-01
   1.99719605E+00   4.43491374E-06   1.18590048E-01   8.46261939E-02   4.43491374E-03   9.96402900E-01
   1.99601162E+00   3.19657576E-06   1.18679877E-01   6.65955421E-02   3.19657576E-03   9.97774932E-01
   1.99482696E+00   1.94798087E-06   1.18748176E-01   4.84981760E-02   1.94798087E-03   9.98821372E-01
   1.99364222E+00   6.91332447E-07   1.18794925E-01   3.03451988E-02   6.91332447E-04   9.99539239E-01
   1.99245756E+00  -5.71122206E-07   1.18820106E-01   1.21479233E-02  -5.71122206E-04   9.99926048E-01
   1.99127312E+00  -1.83709741E-06   1.18823700E-01  -6.08215897E-03  -1.83709741E-03   9.99979816E-01
   1.99008908E+00  -3.10306754E-06   1.18805703E-01  -2.42997520E-02  -3.10306754E-03   9.99699901E-01
   1.98890560E+00  -4.36572393E-06   1.18766162E-01  -4.24655169E-02  -4.36572393E-03   9.99088395E-01
   1.98772282E+00  -5.62278028E-06   1.18705133E-01  -6.05676386E-02  -5.62278028E-03   9.98148258E-01
   1.98654089E+00  -6.87198215E-06   1.18622674E-01  -7.85945814E-02  -6.87198215E-03   9.96882976E-01
   1.98535994E+00  -8.11111273E-06   1.18518842E-01  -9.65351199E-02  -8.11111273E-03   9.95296529E-01
   1.98418012E+00  -9.33799834E-06   1.18393695E-01  -1.14378368E-01  -9.33799834E-03   9.93393372E-01
   1.98300157E+00  -1.05505135E-05   1.18247292E-01  -1.32113806E-01  -1.05505135E-02   9.91178404E-01
   1.98182443E+00  -1.17465860E-05   1.18079693E-01  -1.49731303E-01  -1.17465860E-02   9.88656945E-01
   1.98064884E+00  -1.29242007E-05   1.17890957E-01  -1.67221139E-01  -1.29242007E-02   9.85834700E-01
   1.97947493E+00  -1.40814043E-05   1.17681143E-01  -1.84574023E-01  -1.40814043E-02   9.82717734E-01
   1.97830288E+00  -1.52151739E-05   1.17450336E-01  -2.01745855E-01  -1.52151739E-02   9.79319717E-01
   1.97713284E+00  -1.63235782E-05   1.17198654E-01  -2.18718419E-01  -1.63235782E-02   9.75651472E-01
   1.97596495E+00  -1.74052366E-05   1.16926219E-01  -2.35485664E-01  -1.74052366E-02   9.71721956E-01
   1.97479936E+00  -1.84588656E-05   1.16633153E-01  -2.52042159E-01  -1.84588656E-02   9.67540191E-01
   1.97363621E+00  -1.94832778E-05   1.16319576E-01  -2.68383077E-01  -1.94832778E-02   9.63115219E-01
   1.97247565E+00  -2.04773811E-05   1.15985609E-01  -2.84504176E-01  -2.04773811E-02   9.58456077E-01
   1.97131781E+00  -2.14401772E-05   1.15631375E-01  -3.00401782E-01  -2.14401772E-02   9.53571753E-01
   1.97016284E+00  -2.23707599E-05   1.15256994E-01  -3.16072767E-01  -2.23707599E-02   9.48471167E-01
   1.96901089E+00  -2.32683129E-05   1.14862588E-01  -3.31514526E-01  -2.32683129E-02   9.43163138E-01
   1.96786209E+00  -2.41321079E-05   1.14448276E-01  -3.46724955E-01  -2.41321079E-02   9.37656359E-01
   1.96671660E+00  -2.49609517E-05   1.14014204E-01  -3.61679783E-01  -2.49609517E-02   9.31968178E-01
   1.96557459E+00  -2.57547208E-05   1.13560530E-01  -3.76383033E-01  -2.57547208E-02   9.26106099E-01
   1.96443622E+00  -2.65133206E-05   1.13087409E-01  -3.90835843E-01  -2.65133206E-02   9.20078468E-01
   1.96330164E+00  -2.72367304E-05   1.12595000E-01  -4.05039709E-01  -2.72367304E-02   9.13893317E-01
   1.96217103E+00  -2.79249993E-05   1.12083458E-01  -4.18996457E-01  -2.79249993E-02   9.07558353E-01
   1.96104454E+00  -2.85782416E-05   1.11552939E-01  -4.32708205E-01  -2.85782416E-02   9.01080958E-01
   1.95992234E+00  -2.91966337E-05   1.11003600E-01  -4.46177338E-01  -2.91966337E-02   8.94468188E-01
   1.95880459E+00  -2.97804095E-05   1.10435596E-01  -4.59406476E-01  -2.97804095E-02   8.87726770E-01
   1.95769145E+00  -3.03298575E-05   1.09849081E-01  -4.72398445E-01  -3.03298575E-02   8.80863105E-01
   1.95658309E+00  -3.08453168E-05   1.09244211E-01  -4.85156256E-01  -3.08453168E-02   8.73883273E-01
   1.95547967E+00  -3.13271242E-05   1.08621154E-01  -4.97676155E-01  -3.13271242E-02   8.66797010E-01
   1.95438138E+00  -3.17761088E-05   1.07980074E-01  -5.09970958E-01  -3.17761088E-02   8.59604503E-01
   1.95328840E+00  -3.21929385E-05   1.07321139E-01  -5.22044801E-01  -3.21929385E-02   8.52310296E-01
   1.95220091E+00  -3.25783065E-05   1.06644513E-01  -5.33901853E-01  -3.25783065E-02   8.44918614E-01
   1.95111911E+00  -3.29329286E-05   1.05950361E-01  -5.45546300E-01  -3.29329286E-02   8.37433375E-01
   1.95004318E+00  -3.32575413E-05   1.05238847E-01  -5.56982325E-01  -3.32575413E-02   8.29858196E-01
   1.94897331E+00  -3.35528989E-05   1.04510136E-01  -5.68214100E-01  -3.35528989E-02   8.22196412E-01
   1.94790968E+00  -3.38197720E-05   1.03764391E-01  -5.79245766E-01  -3.38197720E-02   8.14451083E-01
   1.94685249E+00  -3.40589452E-05   1.03001776E-01  -5.90081425E-01  -3.40589452E-02   8.06625006E-01
   1.94580191E+00  -3.42712157E-05   1.02222455E-01  -6.00725130E-01  -3.42712157E-02   7.98720728E-01
   1.94475815E+00  -3.44574909E-05   1.01426589E-01  -6.11185393E-01  -3.44574909E-02   7.90737059E-01
   1.94372139E+00  -3.46186693E-05   1.00614339E-01  -6.21470802E-01  -3.46186693E-02   7.82672083E-01
   1.94269185E+00  -3.47555357E-05   9.97858596E-02  -6.31585055E-01  -3.47555357E-02   7.74527192E-01
   1.94166974E+00  -3.48688698E-05   9.89413090E-02  -6.41531743E-01  -3.48688698E-02   7.66303585E-01
   1.94065524E+00  -3.49594451E-05   9.80808434E-02  -6.51314347E-01  -3.49594451E-02   7.58002281E-01
   1.93964859E+00  -3.50280282E-05   9.72046193E-02  -6.60936233E-01  -3.50280282E-02   7.49624128E-01
   1.93864996E+00  -3.50753783E-05   9.63127929E-02  -6.70400646E-01  -3.50753783E-02   7.41169813E-01
   1.93765958E+00  -3.51022464E-05   9.54055205E-02  -6.79710713E-01  -3.51022464E-02   7.32639870E-01
   1.93667765E+00  -3.51093748E-05   9.44829579E-02  -6.88869435E-01  -3.51093748E-02   7.24034690E-01
   1.93570438E+00  -3.50974969E-05   9.35452611E-02  -6.97879687E-01  -3.50974969E-02   7.15354533E-01
   1.93473996E+00  -3.50673253E-05   9.25925759E-02  -7.06751586E-01  -3.50673253E-02   7.06592158E-01
   1.93378462E+00  -3.50194582E-05   9.16250538E-02  -7.15482246E-01  -3.50194582E-02   6.97752673E-01
   1.93283855E+00  -3.49544038E-05   9.06428403E-02  -7.24073863E-01  -3.49544038E-02   6.88836142E-01
   1.93190197E+00  -3.48726529E-05   8.96460811E-02  -7.32528512E-01  -3.48726529E-02   6.79842539E-01
   1.93097506E+00  -3.47746790E-05   8.86349215E-02  -7.40848150E-01  -3.47746790E-02   6.70771749E-01
   1.93005804E+00  -3.46609383E-05   8.76095070E-02  -7.49034612E-01  -3.46609383E-02   6.61623586E-01
   1.92915111E+00  -3.45318696E-05   8.65699827E-02  -7.57089611E-01  -3.45318696E-02   6.52397786E-01
   1.92825447E+00  -3.43878943E-05   8.55164939E-02  -7.65014737E-01  -3.43878943E-02   6.43094024E-01
   1.92736832E+00  -3.42294165E-05   8.44491858E-02  -7.72811460E-01  -3.42294165E-02   6.33711917E-01
   1.92649287E+00  -3.40568228E-05   8.33682034E-02  -7.80481126E-01  -3.40568228E-02   6.24251028E-01
   1.92562831E+00  -3.38703673E-05   8.22736813E-02  -7.88029330E-01  -3.38703673E-02   6.14705273E-01
